id,country_id,year,Population growth,Urban population,Urban population growth,Fertility rate,Life expectancy (females),Life expectancy (males),Population distribution (children),Population distribution (elders),Migrant,Migrant ratio,Refugees,Infant mortality,Health expenditure,Physicians ratio,Education expenditure,Primary enroll ratio (females),Primary enroll ratio (males),Secondary enroll ratio (females),Secondary enroll ratio (males),Tertiary enroll ratio (females),Tertiary enroll ratio (males),Homicide rate,Women in parliaments
446,149,2010,1.1,86.2,1.1,2.1,82.3,78.3,20.5,18.4,947.4,21.7,2.5,5.0,9.7,2.6,7.0,101.3,101.0,121.8,116.4,98.7,67.4,1.0,33.6
447,149,2018,1.1,86.5,1.1,2.0,83.1,79.5,19.8,21.3,1067.4,22.7,1.8,4.4,9.3,3.1,6.3,99.2,98.5,117.8,111.0,96.4,68.2,1.0,38.3
448,150,2005,1.4,55.9,1.6,2.8,73.8,68.0,36.0,6.1,34.9,0.6,0.2,26.4,5.5,0.5,2.4,120.2,121.9,74.1,63.7,18.7,16.8,13.6,20.7
449,150,2010,1.3,56.9,1.6,2.6,75.8,69.8,32.8,6.5,37.3,0.7,0.1,24.0,6.5,0.7,4.5,122.7,123.8,78.8,69.8,,,13.7,20.7
450,150,2018,1.2,58.5,1.5,2.3,77.5,71.4,28.6,8.7,41.2,0.7,0.7,20.0,7.8,0.9,,,,,,,,7.4,45.7
451,151,2005,3.6,16.2,3.7,7.6,52.0,50.8,49.2,4.1,124.5,0.9,0.4,88.1,7.2,0.0,2.4,40.2,56.2,7.4,12.0,0.6,1.7,,12.4
452,151,2010,3.7,16.2,3.7,7.6,55.6,54.2,50.0,4.1,126.5,0.8,0.3,74.8,6.2,0.0,3.7,56.0,69.1,10.7,16.1,0.8,2.2,,9.7
453,151,2018,3.8,16.4,3.9,7.4,59.5,57.6,50.1,4.2,295.6,1.4,309.9,65.8,7.2,,6.0,68.1,79.1,19.9,27.3,0.9,2.6,4.4,17.0
454,152,2005,2.5,39.1,4.8,6.1,47.8,46.1,43.7,4.6,969.3,0.7,12.7,104.0,3.8,0.3,,92.6,109.8,31.7,38.1,8.7,12.3,11.8,4.7
455,152,2010,2.6,43.5,4.8,5.9,50.5,49.0,44.0,4.5,988.7,0.6,10.6,89.9,3.3,0.4,,80.9,89.1,41.2,47.1,8.1,11.0,10.7,7.0
456,152,2018,2.7,50.3,4.6,5.7,52.6,51.2,43.8,4.5,1235.1,0.6,2478.3,76.3,3.6,,,92.8,95.2,53.5,58.8,8.3,12.0,9.8,5.6
457,153,2005,-2.4,35.2,-1.1,,,,26.1,15.1,0.5,31.0,,,10.1,2.3,,105.9,118.9,116.5,71.3,,,,
458,153,2010,-0.7,38.7,1.2,,76.0,67.0,25.7,16.8,0.5,33.4,,,9.8,1.8,,,,,,,,,
459,153,2018,-0.1,44.8,1.9,2.6,76.3,70.1,22.8,20.1,0.6,34.2,,8.1,6.3,,,125.3,132.5,114.1,104.1,,,0.0,
460,154,2005,-1.6,90.6,-1.5,1.5,77.8,72.5,22.9,3.7,37.5,58.9,,,,,,,,,,,,,
461,154,2010,-3.2,90.9,-3.1,2.2,79.9,74.4,26.7,5.8,24.2,44.4,,,,,,,,,,,,,
462,154,2018,0.1,91.6,0.2,1.6,77.9,74.9,23.5,10.0,21.8,39.5,,6.4,,,,,,,,,,,
463,155,2005,0.6,77.7,1.0,1.8,81.8,76.8,19.6,19.8,361.1,7.8,44.2,3.5,8.3,,6.9,98.7,98.4,114.3,113.2,95.1,62.4,0.7,38.2
464,155,2010,1.1,79.1,1.4,1.9,82.8,78.3,18.8,21.0,526.8,10.8,55.9,3.0,8.9,4.1,6.7,99.2,98.9,111.7,113.5,91.2,56.5,0.6,39.6
465,155,2018,1.2,82.2,1.7,1.8,83.6,79.5,17.8,22.6,798.9,15.1,68.2,2.4,10.0,4.4,7.7,100.1,100.3,112.5,115.9,96.6,65.4,0.5,41.4
466,156,2005,2.0,72.4,2.3,3.2,75.5,71.4,32.5,4.1,666.2,26.5,0.0,14.6,2.6,1.7,3.5,92.1,93.2,86.0,89.3,19.1,17.9,2.1,2.4
467,156,2010,3.8,75.2,4.6,2.9,77.5,73.2,25.7,3.9,816.2,26.8,0.1,9.8,2.7,2.0,4.2,100.7,104.9,97.1,101.8,28.5,19.7,1.6,0.0
468,156,2018,6.5,84.5,8.0,2.9,78.7,74.5,21.6,4.1,2073.3,44.7,0.7,9.6,3.8,1.9,6.2,110.1,107.2,103.9,110.4,59.7,32.8,0.7,1.2
469,157,2005,2.1,34.0,2.7,4.2,64.2,62.5,38.2,6.5,3171.1,2.1,1549.2,84.0,2.9,0.8,2.3,76.1,98.9,,,4.6,5.3,6.4,21.3
470,157,2010,2.1,35.0,2.6,4.0,65.3,63.5,36.2,6.6,3941.6,2.3,4151.0,76.9,2.6,0.9,2.3,87.5,102.7,31.0,40.2,6.3,7.5,7.7,22.2
471,157,2018,2.1,36.7,2.7,3.7,66.8,65.0,34.7,6.8,3398.2,1.7,1862.2,69.8,2.7,1.0,2.8,89.7,105.2,41.1,50.7,9.0,10.4,4.4,20.6
472,158,2005,0.8,71.2,1.0,1.5,72.1,66.3,24.1,8.2,6.0,30.4,,,9.0,,7.6,101.1,104.6,99.9,97.7,52.3,25.6,,0.0
473,158,2010,0.6,74.8,1.6,,,,,,5.5,26.8,,,11.5,1.4,,,,,,,,,0.0
474,158,2018,0.8,79.9,1.7,2.2,77.8,68.1,20.3,13.1,5.0,23.0,0.0,13.3,10.6,1.2,,112.5,117.0,118.3,112.3,78.1,50.6,3.1,12.5
475,159,2005,1.9,63.7,2.4,2.7,78.2,73.0,30.4,8.8,117.6,3.5,12.4,19.8,6.6,1.4,3.6,105.3,109.1,70.3,65.7,52.5,32.1,10.9,16.7
476,159,2010,1.8,65.1,2.2,2.6,79.4,73.5,29.1,9.7,157.3,4.3,17.6,16.8,6.6,1.4,3.6,103.0,107.0,73.5,69.2,53.7,35.1,12.6,8.5
477,159,2018,1.7,67.7,2.2,2.6,80.5,74.3,27.1,11.7,190.7,4.7,23.0,15.2,7.0,1.6,3.2,94.7,97.3,77.8,73.9,58.0,36.8,9.7,18.3
478,160,2005,2.5,13.1,2.4,4.4,65.1,60.3,39.1,5.1,30.0,0.5,10.1,55.5,3.7,0.1,,52.4,61.9,,,,,8.3,0.9
479,160,2010,2.4,13.0,2.2,4.1,66.7,61.8,38.3,5.4,25.4,0.4,9.7,51.9,3.1,0.1,,55.9,63.2,,,,,7.8,0.9
480,160,2018,2.2,13.2,2.2,3.8,67.4,62.6,35.6,6.2,32.4,0.4,9.5,49.0,3.8,,,106.6,117.9,34.0,45.2,,,,0.0
481,161,2005,1.8,57.6,2.6,3.2,72.9,68.7,35.3,7.1,168.2,2.9,0.1,35.5,5.0,1.2,3.4,110.3,113.5,67.8,66.0,27.5,24.3,15.3,10.0
482,161,2010,1.4,59.3,1.9,2.9,73.9,69.7,32.7,7.9,160.3,2.6,0.1,32.0,6.2,,3.8,101.8,105.9,70.2,66.5,41.2,29.1,11.9,12.5
