id,country_id,year,GDP,GDP growth,GDP per capita,Agriculture,Industry,Services,Agriculture employment,Industry employment,Services employment,Unemployment rate,Labour participation (females),Labour participation (males),CPI,Agricultural index,Industrial index,Exports,Imports,Trade balance,Current account
650,215,2010,32,-3.1,3005.0,27.6,4.7,67.7,,,,,,,,104,,0,12,-12,-14
651,215,2018,37,3.0,3307.0,24.3,8.2,67.5,,,,,,,,111,,0,12,-12,
652,216,2005,11154,10.0,391.0,28.6,22.2,49.1,75.3,5.7,19.0,1.9,65.0,76.1,,100,,813,2054,- 1 241,51
653,216,2010,19803,8.2,584.0,26.1,20.4,53.5,71.1,7.1,21.8,4.0,65.9,76.0,,89,,1619,4664,- 3 046,- 1 609
654,216,2018,25308,2.3,610.0,25.5,22.7,51.8,68.4,7.0,24.6,2.2,66.7,74.9,168,92,,2852,4809,- 1 957,- 1 128
655,217,2005,89239,3.1,1903.0,10.0,34.1,55.8,19.4,26.0,54.6,7.2,48.5,62.9,51,100,100,34228,36122,- 1 894,2534
656,217,2010,136012,0.3,2970.0,8.4,29.3,62.3,20.3,25.7,54.0,8.1,48.4,63.0,100,107,94,51430,60737,- 9 307,- 3 016
657,217,2018,93270,2.3,2099.0,13.7,27.1,59.2,14.4,25.7,59.9,9.0,46.6,62.7,235,153,99,43428,49439,- 6 011,- 2 088
658,218,2005,182978,4.9,39955.0,1.3,54.0,44.7,4.9,40.1,55.0,3.1,37.2,92.5,,106,,115453,80814,34639,
659,218,2010,289787,1.6,35038.0,0.8,52.5,46.7,0.8,29.3,69.9,3.8,42.9,93.3,100,108,,198362,187001,11361,
660,218,2018,348744,3.0,37622.0,0.8,40.2,59.0,0.3,38.7,61.0,1.8,40.6,91.7,113,101,,220453,237797,- 17 345,
661,219,2005,2 520 709,3.1,41812.0,0.6,21.9,77.5,1.4,22.2,76.4,4.8,54.7,69.2,87,100,100,392744,528461,- 135 717,- 52 165
662,219,2010,2 441 173,1.7,38561.0,0.7,20.0,79.3,1.2,19.2,79.6,7.8,55.5,68.6,100,102,92,422014,627618,- 205 603,- 92 499
663,219,2018,2 647 899,1.8,40249.0,0.6,20.2,79.2,1.1,18.2,80.7,4.2,56.9,68.1,116,103,90,443734,640365,- 196 631,- 106 505
664,220,2005,18072,7.4,471.0,30.1,20.8,49.1,74.7,4.8,20.5,4.4,81.8,84.4,66,98,,1672,3247,- 1 575,- 1 093
665,220,2010,31105,6.4,694.0,31.7,21.5,46.8,72.2,5.4,22.4,3.0,81.9,84.4,100,128,,4051,8013,- 3 962,- 2 211
666,220,2018,47653,7.0,881.0,31.2,27.0,41.9,66.0,6.0,28.0,2.3,79.4,87.5,175,165,,4500,7706,- 3 206,- 2 009
667,221,2005,,,,,,,2.3,11.0,86.7,7.7,60.1,70.0,,99,,,,,
668,221,2010,,,,,,,2.2,11.1,86.7,7.3,59.4,68.4,,107,,,,,
669,221,2018,,,,,,,2.7,11.7,85.6,7.0,57.0,64.2,,107,,,,,
670,222,2005,13 093 726,3.3,44366.0,1.0,21.5,77.5,1.6,21.0,77.4,5.1,58.2,72.2,90,100,100,904339,1 732 321,- 827 981,- 745 246
671,222,2010,14 964 372,2.5,48485.0,1.1,20.2,78.8,1.6,18.5,79.9,9.6,57.5,69.9,100,106,96,1 278 099,1 968 260,- 690 161,- 430 702
672,222,2018,18 624 475,1.5,57808.0,1.0,19.2,79.9,1.6,18.8,79.6,4.3,55.5,68.0,112,117,108,1 546 069,2 408 395,- 862 326,- 466 248
673,223,2005,17363,7.5,5221.0,9.8,26.6,63.6,5.7,22.9,71.4,12.2,52.5,74.4,71,101,,3422,3879,-457,42
